1.20	0.05
1.40	0.05
1.60	0.05
1.80	0.05
2.00	0.05
2.20	0.05
2.40	0.05
2.60	0.05
2.80	0.05
3.00	0.05
3.20	0.05
3.40	0.05
3.60	0.05
3.80	0.05
4.00	0.05
4.20	0.05
4.40	0.05
4.60	0.05
4.80	0.05
5.00	0.05
5.20	0.05
5.40	0.05
5.60	0.05
5.80	0.05
6.00	0.05
6.20	0.05
6.40	0.05
6.60	0.05
6.80	0.05
7.00	0.05
7.20	0.05
7.40	0.05
7.60	0.05
7.80	0.05
8.00	0.05
8.20	0.05
8.40	0.05
8.60	0.05
8.80	0.05
9.00	0.05
9.20	0.05
9.40	0.05
9.60	0.05
9.80	0.05
10.00	0.05
10.20	0.05
10.40	0.05
10.60	0.05
10.80	0.05
11.00	0.05
11.20	0.05
11.40	0.05
11.60	0.05
11.80	0.05
12.00	0.05
12.20	0.05
12.40	0.05
12.60	0.05
